,n_genes,n_genes_by_counts,total_counts,total_counts_mt,pct_counts_mt
45,3824,3813,13455,0,0.0
50,4009,3998,14378,0,0.0
52,2424,2422,9790,0,0.0
83,3180,3178,11100,0,0.0
97,2966,2958,13069,0,0.0
104,3357,3342,9913,0,0.0
106,3584,3575,15190,0,0.0
127,3260,3255,9095,0,0.0
131,3541,3531,15121,0,0.0
138,3035,3030,9003,0,0.0
139,3148,3144,10924,0,0.0
143,3607,3601,12722,0,0.0
154,3948,3944,11792,0,0.0
155,3792,3782,10516,0,0.0
157,3330,3318,9998,0,0.0
186,3861,3852,11648,0,0.0
189,3445,3436,9809,0,0.0
199,3043,3039,7117,0,0.0
200,2681,2673,7092,0,0.0
202,3422,3416,12294,0,0.0
203,2300,2291,6958,0,0.0
204,2995,2983,8377,0,0.0
205,3179,3158,8024,0,0.0
206,3133,3127,7996,0,0.0
207,3076,3072,9553,0,0.0
208,3336,3328,9250,0,0.0
209,2864,2863,9286,0,0.0
210,3457,3446,14308,0,0.0
212,3951,3942,14173,0,0.0
213,3167,3165,8007,0,0.0
214,3386,3382,9330,0,0.0
215,3586,3583,9422,0,0.0
216,3804,3797,10701,0,0.0
218,2162,2160,6245,0,0.0
219,3986,3981,13538,0,0.0
220,3050,3045,10492,0,0.0
221,3173,3169,10195,0,0.0
222,3693,3689,12262,0,0.0
223,3582,3578,9791,0,0.0
224,3653,3649,9854,0,0.0
225,3712,3706,10832,0,0.0
227,3468,3463,11737,0,0.0
228,2648,2644,8155,0,0.0
229,3828,3823,12862,0,0.0
234,2694,2692,6661,0,0.0
235,3623,3620,10404,0,0.0
236,3221,3214,7538,0,0.0
237,3888,3879,10293,0,0.0
238,2968,2968,6184,0,0.0
240,3532,3519,12165,0,0.0
241,3710,3704,13437,0,0.0
242,3129,3128,7687,0,0.0
243,3052,3049,7073,0,0.0
244,3884,3880,11968,0,0.0
245,3304,3299,12485,0,0.0
247,3900,3881,13308,0,0.0
248,3871,3861,11266,0,0.0
249,2906,2905,7597,0,0.0
250,3366,3360,9028,0,0.0
252,2627,2624,9569,0,0.0
253,3068,3064,7047,0,0.0
254,3331,3323,8449,0,0.0
255,3285,3278,8235,0,0.0
256,3413,3404,10435,0,0.0
257,3509,3505,9755,0,0.0
258,3322,3320,9922,0,0.0
259,3001,2997,8315,0,0.0
260,3066,3062,8490,0,0.0
261,3183,3172,8159,0,0.0
262,3444,3440,12488,0,0.0
263,3011,3004,9891,0,0.0
264,3892,3879,10480,0,0.0
265,3055,3050,9438,0,0.0
266,2936,2917,9473,0,0.0
267,2569,2560,11036,0,0.0
268,3771,3767,10416,0,0.0
269,3030,3027,9800,0,0.0
271,2296,2293,5583,0,0.0
273,3846,3843,12128,0,0.0
274,3070,3068,10725,0,0.0
275,3691,3666,10710,0,0.0
276,3095,3091,6739,0,0.0
277,2911,2908,10677,0,0.0
278,2570,2567,5788,0,0.0
279,2490,2490,5482,0,0.0
280,3139,3134,7996,0,0.0
282,3898,3893,9967,0,0.0
283,3431,3425,9210,0,0.0
284,3421,3419,9524,0,0.0
288,3855,3849,12496,0,0.0
313,3908,3898,12531,0,0.0
322,3336,3331,12915,0,0.0
323,3610,3604,14478,0,0.0
354,3884,3866,14020,0,0.0
357,3547,3540,9326,0,0.0
358,2743,2738,6548,0,0.0
359,2430,2420,7682,0,0.0
360,3503,3494,9542,0,0.0
361,2310,2298,9772,0,0.0
363,3365,3354,8939,0,0.0
366,3719,3708,12625,0,0.0
367,3115,3110,8427,0,0.0
368,3060,3050,8355,0,0.0
372,2725,2724,6802,0,0.0
